"orderid","productid","productname","qty","orderdate","unitprice","custid","shipcountry"
10272,31,"Product XWOXC",40,"2006-08-02 00:00:00",10.0,"65","USA"
10272,72,"Product GEEOO",24,"2006-08-02 00:00:00",27.8,"65","USA"
10273,10,"Product YHXGE",24,"2006-08-05 00:00:00",24.8,"63","Germany"
10273,31,"Product XWOXC",15,"2006-08-05 00:00:00",10.0,"63","Germany"
10273,33,"Product ASTMN",20,"2006-08-05 00:00:00",2.0,"63","Germany"
10273,40,"Product YZIXQ",60,"2006-08-05 00:00:00",14.7,"63","Germany"
10273,76,"Product JYGFE",33,"2006-08-05 00:00:00",14.4,"63","Germany"
10274,71,"Product MYMOI",20,"2006-08-06 00:00:00",17.2,"85","France"
10274,72,"Product GEEOO",7,"2006-08-06 00:00:00",27.8,"85","France"
10275,24,"Product QOGNU",12,"2006-08-07 00:00:00",3.6,"49","Italy"
10275,59,"Product UKXRI",6,"2006-08-07 00:00:00",44.0,"49","Italy"
10276,10,"Product YHXGE",15,"2006-08-08 00:00:00",24.8,"80","Mexico"
10276,13,"Product POXFU",10,"2006-08-08 00:00:00",4.8,"80","Mexico"
10277,28,"Product OFBNT",20,"2006-08-09 00:00:00",36.4,"52","Germany"
10277,62,"Product WUXYK",12,"2006-08-09 00:00:00",39.4,"52","Germany"
10278,44,"Product VJIEO",16,"2006-08-12 00:00:00",15.5,"5","Sweden"
10278,59,"Product UKXRI",15,"2006-08-12 00:00:00",44.0,"5","Sweden"
10278,63,"Product ICKNK",8,"2006-08-12 00:00:00",35.1,"5","Sweden"
10278,73,"Product WEUJZ",25,"2006-08-12 00:00:00",12.0,"5","Sweden"
10279,17,"Product BLCAX",15,"2006-08-13 00:00:00",31.2,"44","Germany"
10280,24,"Product QOGNU",12,"2006-08-14 00:00:00",3.6,"5","Sweden"
10280,55,"Product YYWRT",20,"2006-08-14 00:00:00",19.2,"5","Sweden"
10280,75,"Product BWRLG",30,"2006-08-14 00:00:00",6.2,"5","Sweden"
10281,19,"Product XKXDO",1,"2006-08-14 00:00:00",7.3,"69","Spain"
10281,24,"Product QOGNU",6,"2006-08-14 00:00:00",3.6,"69","Spain"
10281,35,"Product NEVTJ",4,"2006-08-14 00:00:00",14.4,"69","Spain"
10282,30,"Product LYERX",6,"2006-08-15 00:00:00",20.7,"69","Spain"
10282,57,"Product OVLQI",2,"2006-08-15 00:00:00",15.6,"69","Spain"
10283,15,"Product KSZOI",20,"2006-08-16 00:00:00",12.4,"46","Venezuela"
10283,19,"Product XKXDO",18,"2006-08-16 00:00:00",7.3,"46","Venezuela"
10283,60,"Product WHBYK",35,"2006-08-16 00:00:00",27.2,"46","Venezuela"
10283,72,"Product GEEOO",3,"2006-08-16 00:00:00",27.8,"46","Venezuela"
10284,27,"Product SMIOH",15,"2006-08-19 00:00:00",35.1,"44","Germany"
10284,44,"Product VJIEO",21,"2006-08-19 00:00:00",15.5,"44","Germany"
10284,60,"Product WHBYK",20,"2006-08-19 00:00:00",27.2,"44","Germany"
10284,67,"Product XLXQF",5,"2006-08-19 00:00:00",11.2,"44","Germany"
10285,1,"Product HHYDP",45,"2006-08-20 00:00:00",14.4,"63","Germany"
10285,40,"Product YZIXQ",40,"2006-08-20 00:00:00",14.7,"63","Germany"
10285,53,"Product BKGEA",36,"2006-08-20 00:00:00",26.2,"63","Germany"
10286,35,"Product NEVTJ",100,"2006-08-21 00:00:00",14.4,"63","Germany"
10286,62,"Product WUXYK",40,"2006-08-21 00:00:00",39.4,"63","Germany"
10287,16,"Product PAFRH",40,"2006-08-22 00:00:00",13.9,"67","Brazil"
10287,34,"Product SWNJY",20,"2006-08-22 00:00:00",11.2,"67","Brazil"
10287,46,"Product CBRRL",15,"2006-08-22 00:00:00",9.6,"67","Brazil"
10288,54,"Product QAQRL",10,"2006-08-23 00:00:00",5.9,"66","Italy"
10288,68,"Product TBTBL",3,"2006-08-23 00:00:00",10.0,"66","Italy"
10289,3,"Product IMEHJ",30,"2006-08-26 00:00:00",8.0,"11","UK"
10289,64,"Product HCQDE",9,"2006-08-26 00:00:00",26.6,"11","UK"
10290,5,"Product EPEIM",20,"2006-08-27 00:00:00",17.0,"15","Brazil"
10290,29,"Product VJXYN",15,"2006-08-27 00:00:00",99.0,"15","Brazil"
10290,49,"Product FPYPN",15,"2006-08-27 00:00:00",16.0,"15","Brazil"
10290,77,"Product LUNZZ",10,"2006-08-27 00:00:00",10.4,"15","Brazil"
10291,13,"Product POXFU",20,"2006-08-27 00:00:00",4.8,"61","Brazil"
10291,44,"Product VJIEO",24,"2006-08-27 00:00:00",15.5,"61","Brazil"
10291,51,"Product APITJ",2,"2006-08-27 00:00:00",42.4,"61","Brazil"
10292,20,"Product QHFFP",20,"2006-08-28 00:00:00",64.8,"81","Brazil"
10293,18,"Product CKEDC",12,"2006-08-29 00:00:00",50.0,"80","Mexico"
10293,24,"Product QOGNU",10,"2006-08-29 00:00:00",3.6,"80","Mexico"
10293,63,"Product ICKNK",5,"2006-08-29 00:00:00",35.1,"80","Mexico"
10293,75,"Product BWRLG",6,"2006-08-29 00:00:00",6.2,"80","Mexico"
10294,1,"Product HHYDP",18,"2006-08-30 00:00:00",14.4,"65","USA"
10294,17,"Product BLCAX",15,"2006-08-30 00:00:00",31.2,"65","USA"
10294,43,"Product ZZZHR",15,"2006-08-30 00:00:00",36.8,"65","USA"
10294,60,"Product WHBYK",21,"2006-08-30 00:00:00",27.2,"65","USA"
10294,75,"Product BWRLG",6,"2006-08-30 00:00:00",6.2,"65","USA"
10295,56,"Product VKCMF",4,"2006-09-02 00:00:00",30.4,"85","France"
10296,11,"Product QMVUN",12,"2006-09-03 00:00:00",16.8,"46","Venezuela"
10296,16,"Product PAFRH",30,"2006-09-03 00:00:00",13.9,"46","Venezuela"
10296,69,"Product COAXA",15,"2006-09-03 00:00:00",28.8,"46","Venezuela"
10297,39,"Product LSOFL",60,"2006-09-04 00:00:00",14.4,"7","France"
10297,72,"Product GEEOO",20,"2006-09-04 00:00:00",27.8,"7","France"
10298,2,"Product RECZE",40,"2006-09-05 00:00:00",15.2,"37","Ireland"
10298,36,"Product GMKIJ",40,"2006-09-05 00:00:00",15.2,"37","Ireland"
10298,59,"Product UKXRI",30,"2006-09-05 00:00:00",44.0,"37","Ireland"
10298,62,"Product WUXYK",15,"2006-09-05 00:00:00",39.4,"37","Ireland"
10299,19,"Product XKXDO",15,"2006-09-06 00:00:00",7.3,"67","Brazil"
10299,70,"Product TOONT",20,"2006-09-06 00:00:00",12.0,"67","Brazil"
10300,66,"Product LQMGN",30,"2006-09-09 00:00:00",13.6,"49","Italy"
10300,68,"Product TBTBL",20,"2006-09-09 00:00:00",10.0,"49","Italy"
10301,40,"Product YZIXQ",10,"2006-09-09 00:00:00",14.7,"86","Germany"
10301,56,"Product VKCMF",20,"2006-09-09 00:00:00",30.4,"86","Germany"
10302,17,"Product BLCAX",40,"2006-09-10 00:00:00",31.2,"76","Belgium"
10302,28,"Product OFBNT",28,"2006-09-10 00:00:00",36.4,"76","Belgium"
10302,43,"Product ZZZHR",12,"2006-09-10 00:00:00",36.8,"76","Belgium"
10303,40,"Product YZIXQ",40,"2006-09-11 00:00:00",14.7,"30","Spain"
10303,65,"Product XYWBZ",30,"2006-09-11 00:00:00",16.8,"30","Spain"
10303,68,"Product TBTBL",15,"2006-09-11 00:00:00",10.0,"30","Spain"
10304,49,"Product FPYPN",30,"2006-09-12 00:00:00",16.0,"80","Mexico"
10304,59,"Product UKXRI",10,"2006-09-12 00:00:00",44.0,"80","Mexico"
10304,71,"Product MYMOI",2,"2006-09-12 00:00:00",17.2,"80","Mexico"
10305,18,"Product CKEDC",25,"2006-09-13 00:00:00",50.0,"55","USA"
10305,29,"Product VJXYN",25,"2006-09-13 00:00:00",99.0,"55","USA"
10305,39,"Product LSOFL",30,"2006-09-13 00:00:00",14.4,"55","USA"
10306,30,"Product LYERX",10,"2006-09-16 00:00:00",20.7,"69","Spain"
10306,53,"Product BKGEA",10,"2006-09-16 00:00:00",26.2,"69","Spain"
10306,54,"Product QAQRL",5,"2006-09-16 00:00:00",5.9,"69","Spain"
10307,62,"Product WUXYK",10,"2006-09-17 00:00:00",39.4,"48","USA"
10307,68,"Product TBTBL",3,"2006-09-17 00:00:00",10.0,"48","USA"
10308,69,"Product COAXA",1,"2006-09-18 00:00:00",28.8,"2","Mexico"
10308,70,"Product TOONT",5,"2006-09-18 00:00:00",12.0,"2","Mexico"
10309,4,"Product KSBRM",20,"2006-09-19 00:00:00",17.6,"37","Ireland"
10309,6,"Product VAIIV",30,"2006-09-19 00:00:00",20.0,"37","Ireland"
10309,42,"Product RJVNM",2,"2006-09-19 00:00:00",11.2,"37","Ireland"
10309,43,"Product ZZZHR",20,"2006-09-19 00:00:00",36.8,"37","Ireland"
10309,71,"Product MYMOI",3,"2006-09-19 00:00:00",17.2,"37","Ireland"
10310,16,"Product PAFRH",10,"2006-09-20 00:00:00",13.9,"77","USA"
10310,62,"Product WUXYK",5,"2006-09-20 00:00:00",39.4,"77","USA"
10311,42,"Product RJVNM",6,"2006-09-20 00:00:00",11.2,"18","France"
10311,69,"Product COAXA",7,"2006-09-20 00:00:00",28.8,"18","France"
10312,28,"Product OFBNT",4,"2006-09-23 00:00:00",36.4,"86","Germany"
10312,43,"Product ZZZHR",24,"2006-09-23 00:00:00",36.8,"86","Germany"
10312,53,"Product BKGEA",20,"2006-09-23 00:00:00",26.2,"86","Germany"
10312,75,"Product BWRLG",10,"2006-09-23 00:00:00",6.2,"86","Germany"
10313,36,"Product GMKIJ",12,"2006-09-24 00:00:00",15.2,"63","Germany"
10314,32,"Product NUNAW",40,"2006-09-25 00:00:00",25.6,"65","USA"
10314,58,"Product ACRVI",30,"2006-09-25 00:00:00",10.6,"65","USA"
10314,62,"Product WUXYK",25,"2006-09-25 00:00:00",39.4,"65","USA"
10315,34,"Product SWNJY",14,"2006-09-26 00:00:00",11.2,"38","UK"
10315,70,"Product TOONT",30,"2006-09-26 00:00:00",12.0,"38","UK"
10316,41,"Product TTEEX",10,"2006-09-27 00:00:00",7.7,"65","USA"
10316,62,"Product WUXYK",70,"2006-09-27 00:00:00",39.4,"65","USA"
10317,1,"Product HHYDP",20,"2006-09-30 00:00:00",14.4,"48","USA"
10318,41,"Product TTEEX",20,"2006-10-01 00:00:00",7.7,"38","UK"
10318,76,"Product JYGFE",6,"2006-10-01 00:00:00",14.4,"38","UK"
10319,17,"Product BLCAX",8,"2006-10-02 00:00:00",31.2,"80","Mexico"
10319,28,"Product OFBNT",14,"2006-10-02 00:00:00",36.4,"80","Mexico"
10319,76,"Product JYGFE",30,"2006-10-02 00:00:00",14.4,"80","Mexico"
10320,71,"Product MYMOI",30,"2006-10-03 00:00:00",17.2,"87","Finland"
10321,35,"Product NEVTJ",10,"2006-10-03 00:00:00",14.4,"38","UK"
10322,52,"Product QSRXF",20,"2006-10-04 00:00:00",5.6,"58","Mexico"
10323,15,"Product KSZOI",5,"2006-10-07 00:00:00",12.4,"39","Germany"
10323,25,"Product LYLNI",4,"2006-10-07 00:00:00",11.2,"39","Germany"
10323,39,"Product LSOFL",4,"2006-10-07 00:00:00",14.4,"39","Germany"
10324,16,"Product PAFRH",21,"2006-10-08 00:00:00",13.9,"71","USA"
10324,35,"Product NEVTJ",70,"2006-10-08 00:00:00",14.4,"71","USA"
10324,46,"Product CBRRL",30,"2006-10-08 00:00:00",9.6,"71","USA"
10324,59,"Product UKXRI",40,"2006-10-08 00:00:00",44.0,"71","USA"
10324,63,"Product ICKNK",80,"2006-10-08 00:00:00",35.1,"71","USA"
10325,6,"Product VAIIV",6,"2006-10-09 00:00:00",20.0,"39","Germany"
10325,13,"Product POXFU",12,"2006-10-09 00:00:00",4.8,"39","Germany"
10325,14,"Product PWCJB",9,"2006-10-09 00:00:00",18.6,"39","Germany"
10325,31,"Product XWOXC",4,"2006-10-09 00:00:00",10.0,"39","Germany"
10325,72,"Product GEEOO",40,"2006-10-09 00:00:00",27.8,"39","Germany"
10326,4,"Product KSBRM",24,"2006-10-10 00:00:00",17.6,"8","Spain"
10326,57,"Product OVLQI",16,"2006-10-10 00:00:00",15.6,"8","Spain"
10326,75,"Product BWRLG",50,"2006-10-10 00:00:00",6.2,"8","Spain"
10327,2,"Product RECZE",25,"2006-10-11 00:00:00",15.2,"24","Sweden"
10327,11,"Product QMVUN",50,"2006-10-11 00:00:00",16.8,"24","Sweden"
10327,30,"Product LYERX",35,"2006-10-11 00:00:00",20.7,"24","Sweden"
10327,58,"Product ACRVI",30,"2006-10-11 00:00:00",10.6,"24","Sweden"
10328,59,"Product UKXRI",9,"2006-10-14 00:00:00",44.0,"28","Portugal"
10328,65,"Product XYWBZ",40,"2006-10-14 00:00:00",16.8,"28","Portugal"
10328,68,"Product TBTBL",10,"2006-10-14 00:00:00",10.0,"28","Portugal"
10329,19,"Product XKXDO",10,"2006-10-15 00:00:00",7.3,"75","USA"
10329,30,"Product LYERX",8,"2006-10-15 00:00:00",20.7,"75","USA"
10329,38,"Product QDOMO",20,"2006-10-15 00:00:00",210.8,"75","USA"
10329,56,"Product VKCMF",12,"2006-10-15 00:00:00",30.4,"75","USA"
10330,26,"Product HLGZA",50,"2006-10-16 00:00:00",24.9,"46","Venezuela"
10330,72,"Product GEEOO",25,"2006-10-16 00:00:00",27.8,"46","Venezuela"
10331,54,"Product QAQRL",15,"2006-10-16 00:00:00",5.9,"9","France"
10332,18,"Product CKEDC",40,"2006-10-17 00:00:00",50.0,"51","Canada"
10332,42,"Product RJVNM",10,"2006-10-17 00:00:00",11.2,"51","Canada"
10332,47,"Product EZZPR",16,"2006-10-17 00:00:00",7.6,"51","Canada"
10333,14,"Product PWCJB",10,"2006-10-18 00:00:00",18.6,"87","Finland"
10333,21,"Product VJZZH",10,"2006-10-18 00:00:00",8.0,"87","Finland"
10333,71,"Product MYMOI",40,"2006-10-18 00:00:00",17.2,"87","Finland"
10334,52,"Product QSRXF",8,"2006-10-21 00:00:00",5.6,"84","France"
10334,68,"Product TBTBL",10,"2006-10-21 00:00:00",10.0,"84","France"
10335,2,"Product RECZE",7,"2006-10-22 00:00:00",15.2,"37","Ireland"
10335,31,"Product XWOXC",25,"2006-10-22 00:00:00",10.0,"37","Ireland"
10335,32,"Product NUNAW",6,"2006-10-22 00:00:00",25.6,"37","Ireland"
10335,51,"Product APITJ",48,"2006-10-22 00:00:00",42.4,"37","Ireland"
10336,4,"Product KSBRM",18,"2006-10-23 00:00:00",17.6,"60","Portugal"
10337,23,"Product JLUDZ",40,"2006-10-24 00:00:00",7.2,"25","Germany"
10337,26,"Product HLGZA",24,"2006-10-24 00:00:00",24.9,"25","Germany"
10337,36,"Product GMKIJ",20,"2006-10-24 00:00:00",15.2,"25","Germany"
10337,37,"Product EVFFA",28,"2006-10-24 00:00:00",20.8,"25","Germany"
10337,72,"Product GEEOO",25,"2006-10-24 00:00:00",27.8,"25","Germany"
10338,17,"Product BLCAX",20,"2006-10-25 00:00:00",31.2,"55","USA"
10338,30,"Product LYERX",15,"2006-10-25 00:00:00",20.7,"55","USA"
10339,4,"Product KSBRM",10,"2006-10-28 00:00:00",17.6,"51","Canada"
10339,17,"Product BLCAX",70,"2006-10-28 00:00:00",31.2,"51","Canada"
10339,62,"Product WUXYK",28,"2006-10-28 00:00:00",39.4,"51","Canada"
10340,18,"Product CKEDC",20,"2006-10-29 00:00:00",50.0,"9","France"
10340,41,"Product TTEEX",12,"2006-10-29 00:00:00",7.7,"9","France"
10340,43,"Product ZZZHR",40,"2006-10-29 00:00:00",36.8,"9","France"
10341,33,"Product ASTMN",8,"2006-10-29 00:00:00",2.0,"73","Denmark"
10341,59,"Product UKXRI",9,"2006-10-29 00:00:00",44.0,"73","Denmark"
10342,2,"Product RECZE",24,"2006-10-30 00:00:00",15.2,"25","Germany"
10342,31,"Product XWOXC",56,"2006-10-30 00:00:00",10.0,"25","Germany"
10342,36,"Product GMKIJ",40,"2006-10-30 00:00:00",15.2,"25","Germany"
10342,55,"Product YYWRT",40,"2006-10-30 00:00:00",19.2,"25","Germany"
10343,64,"Product HCQDE",50,"2006-10-31 00:00:00",26.6,"44","Germany"
10343,68,"Product TBTBL",4,"2006-10-31 00:00:00",10.0,"44","Germany"
10343,76,"Product JYGFE",15,"2006-10-31 00:00:00",14.4,"44","Germany"
10344,4,"Product KSBRM",35,"2006-11-01 00:00:00",17.6,"89","USA"
10344,8,"Product WVJFP",70,"2006-11-01 00:00:00",32.0,"89","USA"
10345,8,"Product WVJFP",70,"2006-11-04 00:00:00",32.0,"63","Germany"
10345,19,"Product XKXDO",80,"2006-11-04 00:00:00",7.3,"63","Germany"
10345,42,"Product RJVNM",9,"2006-11-04 00:00:00",11.2,"63","Germany"
10346,17,"Product BLCAX",36,"2006-11-05 00:00:00",31.2,"65","USA"
10346,56,"Product VKCMF",20,"2006-11-05 00:00:00",30.4,"65","USA"
10347,25,"Product LYLNI",10,"2006-11-06 00:00:00",11.2,"21","Brazil"
10347,39,"Product LSOFL",50,"2006-11-06 00:00:00",14.4,"21","Brazil"
10347,40,"Product YZIXQ",4,"2006-11-06 00:00:00",14.7,"21","Brazil"
10347,75,"Product BWRLG",6,"2006-11-06 00:00:00",6.2,"21","Brazil"
10348,1,"Product HHYDP",15,"2006-11-07 00:00:00",14.4,"86","Germany"
10348,23,"Product JLUDZ",25,"2006-11-07 00:00:00",7.2,"86","Germany"
10349,54,"Product QAQRL",24,"2006-11-08 00:00:00",5.9,"75","USA"
10350,50,"Product BIUDV",15,"2006-11-11 00:00:00",13.0,"41","France"
10350,69,"Product COAXA",18,"2006-11-11 00:00:00",28.8,"41","France"
10351,38,"Product QDOMO",20,"2006-11-11 00:00:00",210.8,"20","Austria"
10351,41,"Product TTEEX",13,"2006-11-11 00:00:00",7.7,"20","Austria"
10351,44,"Product VJIEO",77,"2006-11-11 00:00:00",15.5,"20","Austria"
10351,65,"Product XYWBZ",10,"2006-11-11 00:00:00",16.8,"20","Austria"
10352,24,"Product QOGNU",10,"2006-11-12 00:00:00",3.6,"28","Portugal"
10352,54,"Product QAQRL",20,"2006-11-12 00:00:00",5.9,"28","Portugal"
10353,11,"Product QMVUN",12,"2006-11-13 00:00:00",16.8,"59","Austria"
10353,38,"Product QDOMO",50,"2006-11-13 00:00:00",210.8,"59","Austria"
10354,1,"Product HHYDP",12,"2006-11-14 00:00:00",14.4,"58","Mexico"
10354,29,"Product VJXYN",4,"2006-11-14 00:00:00",99.0,"58","Mexico"
10355,24,"Product QOGNU",25,"2006-11-15 00:00:00",3.6,"4","UK"
10355,57,"Product OVLQI",25,"2006-11-15 00:00:00",15.6,"4","UK"
10356,31,"Product XWOXC",30,"2006-11-18 00:00:00",10.0,"86","Germany"
10356,55,"Product YYWRT",12,"2006-11-18 00:00:00",19.2,"86","Germany"
10356,69,"Product COAXA",20,"2006-11-18 00:00:00",28.8,"86","Germany"
10357,10,"Product YHXGE",30,"2006-11-19 00:00:00",24.8,"46","Venezuela"
10357,26,"Product HLGZA",16,"2006-11-19 00:00:00",24.9,"46","Venezuela"
10357,60,"Product WHBYK",8,"2006-11-19 00:00:00",27.2,"46","Venezuela"
10358,24,"Product QOGNU",10,"2006-11-20 00:00:00",3.6,"41","France"
10358,34,"Product SWNJY",10,"2006-11-20 00:00:00",11.2,"41","France"
10358,36,"Product GMKIJ",20,"2006-11-20 00:00:00",15.2,"41","France"
10359,16,"Product PAFRH",56,"2006-11-21 00:00:00",13.9,"72","UK"
10359,31,"Product XWOXC",70,"2006-11-21 00:00:00",10.0,"72","UK"
10359,60,"Product WHBYK",80,"2006-11-21 00:00:00",27.2,"72","UK"
10360,28,"Product OFBNT",30,"2006-11-22 00:00:00",36.4,"7","France"
10360,29,"Product VJXYN",35,"2006-11-22 00:00:00",99.0,"7","France"
10360,38,"Product QDOMO",10,"2006-11-22 00:00:00",210.8,"7","France"
10360,49,"Product FPYPN",35,"2006-11-22 00:00:00",16.0,"7","France"
10360,54,"Product QAQRL",28,"2006-11-22 00:00:00",5.9,"7","France"
10361,39,"Product LSOFL",54,"2006-11-22 00:00:00",14.4,"63","Germany"
10361,60,"Product WHBYK",55,"2006-11-22 00:00:00",27.2,"63","Germany"
10362,25,"Product LYLNI",50,"2006-11-25 00:00:00",11.2,"9","France"
10362,51,"Product APITJ",20,"2006-11-25 00:00:00",42.4,"9","France"
10362,54,"Product QAQRL",24,"2006-11-25 00:00:00",5.9,"9","France"
10363,31,"Product XWOXC",20,"2006-11-26 00:00:00",10.0,"17","Germany"
10363,75,"Product BWRLG",12,"2006-11-26 00:00:00",6.2,"17","Germany"
10363,76,"Product JYGFE",12,"2006-11-26 00:00:00",14.4,"17","Germany"
10364,69,"Product COAXA",30,"2006-11-26 00:00:00",28.8,"19","UK"
10364,71,"Product MYMOI",5,"2006-11-26 00:00:00",17.2,"19","UK"
10365,11,"Product QMVUN",24,"2006-11-27 00:00:00",16.8,"3","Mexico"
10366,65,"Product XYWBZ",5,"2006-11-28 00:00:00",16.8,"29","Spain"
10366,77,"Product LUNZZ",5,"2006-11-28 00:00:00",10.4,"29","Spain"
10367,34,"Product SWNJY",36,"2006-11-28 00:00:00",11.2,"83","Denmark"
10367,54,"Product QAQRL",18,"2006-11-28 00:00:00",5.9,"83","Denmark"
10367,65,"Product XYWBZ",15,"2006-11-28 00:00:00",16.8,"83","Denmark"
10367,77,"Product LUNZZ",7,"2006-11-28 00:00:00",10.4,"83","Denmark"
10368,21,"Product VJZZH",5,"2006-11-29 00:00:00",8.0,"20","Austria"
10368,28,"Product OFBNT",13,"2006-11-29 00:00:00",36.4,"20","Austria"
10368,57,"Product OVLQI",25,"2006-11-29 00:00:00",15.6,"20","Austria"
10368,64,"Product HCQDE",35,"2006-11-29 00:00:00",26.6,"20","Austria"
10369,29,"Product VJXYN",20,"2006-12-02 00:00:00",99.0,"75","USA"
10369,56,"Product VKCMF",18,"2006-12-02 00:00:00",30.4,"75","USA"
10370,1,"Product HHYDP",15,"2006-12-03 00:00:00",14.4,"14","Switzerland"
10370,64,"Product HCQDE",30,"2006-12-03 00:00:00",26.6,"14","Switzerland"
10370,74,"Product BKAZJ",20,"2006-12-03 00:00:00",8.0,"14","Switzerland"
10371,36,"Product GMKIJ",6,"2006-12-03 00:00:00",15.2,"41","France"
10372,20,"Product QHFFP",12,"2006-12-04 00:00:00",64.8,"62","Brazil"
